description,RO
Procédure de consignation non appliquée avant maintenance / Lockout procedure not applied before maintenance,RO1
Le conducteur a dépassé la limite de vitesse sur la route du site / Driver exceeded speed limit on site road,RO2
Les flexibles utilisés pour le nettoyage des capacités DS 511B et DS 512B ont été mal rangés : risque de chute / Hoses used for cleaning DS 511B and DS 512B tanks were poorly stored: fall risk,RO3
Absence de signalisation sur le châssis près de la zone GR.MHN / Missing signage on chassis near GR.MHN zone 21,RO4
Permis de travail manquant pour une opération de travail à chaud / Work permit missing for hot work operation,RO5
Déversement d’huile au sol près du poste de comptage KITINA, zone 5, à côté des capacités KEC / Oil spilled on the ground near KITINA counting station, zone 5, next to KEC tanks,RO6
Panne d’éclairage autour de la torche LP du scrubber DS 202 / Lighting failure around DS 202 scrubber torch LP,RO7
Entrée dans une capacité sans certificat d’entrée en espace confiné / Entering tank without confined space entry certificate,RO8
Zone d’excavation non balisée / Excavation area not barricaded,RO9
Travail en hauteur sans harnais / Working at height without harness,RO10
Essai de pression effectué sans barrières appropriées / Pressure test performed without proper barriers,RO11
Ligne de tir non respectée lors d’une opération de levage / Line of fire not respected during lifting operation,RO12
